seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
24,4,80,6,0.3,1.0,1.0,167.58185927342956,4,True,3.773160433275302,0.0,4,30,1.0,1.0,0.0,0.0,baseline
25,4,80,6,0.3,0.6282852561175624,0.8006031526233826,1228.7104946893953,5,True,0.0005997523274592156,0.0,4,30,1.0,1.0,0.0,0.0,baseline
26,4,80,6,0.3,1.0,1.0,169.6771742627858,5,True,4.084177719140484,0.0,4,30,1.0,1.0,0.0,0.0,baseline
27,4,80,6,0.3,1.0,1.0,168.53616494223178,2,True,8.574823873023863,0.0,4,30,1.0,1.0,0.0,0.0,baseline
28,4,80,6,0.3,1.0,1.0,171.09071529370217,3,True,3.906342217411368,0.0,4,30,1.0,1.0,0.0,0.0,baseline
29,4,80,6,0.3,0.6269560029361883,0.8000240481455232,3795.965832052079,5,True,0.00044260247983959487,0.0,4,30,1.0,1.0,0.0,0.0,baseline
0,4,80,6,0.3,0.6269560029361883,0.8000240481455232,1562.9452833432042,27,True,7.354231349725761e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
1,4,80,6,0.3,1.0,1.0,172.27917941452148,24,True,6.1887797734039465,0.0,4,30,1.0,1.0,0.5,0.0,inertia
2,4,80,6,0.3,1.0,1.0,168.13378435835472,26,True,5.903340957501331,0.0,4,30,1.0,1.0,0.5,0.0,inertia
3,4,80,6,0.3,1.0,1.0,173.42347985758306,26,True,6.685212058526748,0.0,4,30,1.0,1.0,0.5,0.0,inertia
4,4,80,6,0.3,1.0,1.0,161.4201413300933,27,True,9.50784369262588,0.0,4,30,1.0,1.0,0.5,0.0,inertia
5,4,80,6,0.3,1.0,1.0,166.72020090248978,27,True,5.450400820700377,0.0,4,30,1.0,1.0,0.5,0.0,inertia
6,4,80,6,0.3,0.6273992541638475,0.8002166662574268,2189.965092048985,27,True,0.0006268864604851905,0.0,4,30,1.0,1.0,0.5,0.0,inertia
